Protein,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46
Q60864,4648445.20200706,4943384.79877134,4848236.0640923,3980616.08948424,4663055.36322787,4344453.99700565,4406157.72571521,4403141.51232818,4446429.16263814,4602830.95297214,5163764.32526736,3893896.28326729,4667770.09240762,4840496.59132012,4637372.17930576,4916162.45342261,5153112.31302628,4948903.58472141,4862992.87015012,5300922.60315968,6059647.93406734,5598136.28846425,5619082.19858257,4973715.90750479,5643448.32283576,5296144.70315943,5543610.07026059,6627413.06376113,5125605.37095574,4756163.77228886,5218169.43517864,5574277.77908611,1657027.61321884,1215179.78740551,1444829.17472544,2070549.57603641,1672108.53499595,2388131.75500866,1820881.18611229,1446487.64663546,2081986.23879888,1687109.97098517,2026798.82809905,1915912.49019049,1949454.49755804,2120068.70499775
Q60865,1293268.2189311,597211.865192264,1143348.18745034,650167.294615759,1113813.58052145,703011.646788187,1019630.08909179,1222096.41974823,1281617.81746629,1295215.2216503,1092166.73546264,1287149.04919113,1166942.5231019,858184.111823568,1210598.21101877,1194764.58031386,687757.90319524,963081.429782008,791768.797135786,1062288.06134747,704114.020507824,876615.014590799,1204745.93783031,1086442.95374353,1051105.53508184,1014362.88973956,831541.510539088,1133135.27957985,881387.166963289,942479.078803252,1067098.8887785,1130867.84387205,329614.141440288,277634.826428065,532844.802026404,188443.276021292,269092.815399348,270940.508527889,362683.71166007,315191.443989085,567025.797612271,539141.664640911,338778.934551822,487213.945469257,348577.956517001,199387.413922407
Q60870,2061908.76414486,1229018.32013652,1572103.75774421,1256105.52157058,1296678.49672647,991764.245781088,1609942.2459344,1302970.44752569,1211869.90903275,1637751.47861567,1293125.41478777,2141642.95579701,1929943.40359161,1384508.85035576,1337515.76539977,1547318.06302943,128827.807825657,206919.47550762,203305.794361318,285029.76695561,182429.541677027,159384.548107418,162778.64961524,140539.868328291,119033.184963767,128746.059082328,119527.652072533,144736.607139611,170853.512365192,129359.873561231,169841.917376264,268205.824918326,564285.079096144,644720.387206812,572808.162178384,666530.846667902,495410.7612988,747495.94842872,720889.84663298,327691.954515564,565448.535310151,662007.282093092,797011.713078564,490681.660383629,701029.001439746,716785.133594477
Q60875,535608.252934673,552603.052091013,433153.063322532,536056.300050545,464643.127993649,387051.356096867,535235.185271173,NaN,624243.780480179,566255.249795876,632582.973179961,585166.080346557,586837.441906054,612988.651302549,535006.306159907,615989.279522475,793254.690706014,489169.082651654,697778.178637088,534299.341747047,768124.386008536,655247.58666383,668588.012826438,687748.291819298,824729.924391818,672015.414452458,778990.560058924,653219.161169559,713245.615111831,769350.826969425,705067.43331857,678520.706323229,188095.026365382,221095.211319614,229533.145488297,181463.89542791,176543.552299573,221678.597886455,226863.885482843,191079.232333327,233434.820713814,383267.373843369,242824.207424427,299090.411364579,191072.36135006,252389.131547351
Q60899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53458.4682867096,NaN,75090.3310832004,NaN,NaN,84021.2370887252,NaN,72861.4494666532,NaN,54912.144896478,NaN,87032.4071878976,70330.1759894809,91621.8051839695,77322.767647615,NaN,57413.7675715283,40252.8304578075,NaN,47576.1110448816,59729.2723198554,58043.3816688204,51193.6267898783,49019.8591359796,57570.0740273934,62991.5516340656,50621.0142090439,51755.6450970011,51512.0757964013,NaN
Q60900,NaN,193001.395458476,227570.264232904,139763.853808558,144629.524634875,301917.611105039,179353.215117253,410660.341047751,155189.096264626,204451.328376204,NaN,NaN,168309.017755082,NaN,213807.264687992,204676.883020981,44328.9385982772,88012.2930384945,122596.458911348,107280.576492517,NaN,110191.786345869,NaN,133562.711744617,94907.7090827183,145326.99093384,136014.224772193,142832.1780983,104862.473197684,NaN,97435.6262842779,96073.7283289527,106587.181607049,115610.854773996,105544.258862922,129118.540977552,106548.311299742,100772.73459476,99551.4550112209,46251.8889479734,126180.984169629,110945.818744133,113579.064763038,84612.2439106753,115418.034491185,108527.326565361
Q60902,453863.940983367,430611.604018203,765163.786985996,873966.376980096,856140.289505293,794289.064099012,571953.166318801,762911.662034007,829128.261503702,742875.507293643,943632.05943972,680350.211715313,669869.890665228,786316.47684327,736121.8154098,784431.499042134,652254.176629114,767604.505915363,707994.550213032,577421.926415608,768124.386008536,542104.234612267,632721.530707825,522290.007120743,362413.536362899,690547.044168853,641945.924493001,769389.33268951,707821.694084364,797557.115189543,490530.2745275,691530.690367774,212278.672612359,236284.958662182,259249.490216693,255910.62175731,251982.86759939,268798.686326087,253729.345605811,267868.082710271,272866.378266823,271404.647506309,286885.051513537,248808.545106187,330503.543956861,301605.012199084
Q60930,16348862.390261,18207678.8168373,20228467.9318137,15657089.9519714,14047350.3812034,18782083.9466507,19065105.54396,20038786.8826364,17872901.5360945,16591599.9467601,18348401.1557723,16332731.6325933,17616343.8583653,17438470.2525725,18061344.2772961,17725605.6587548,18766255.4706666,19833756.1776889,19513269.7100562,17459387.9389783,19523161.477717,18201321.851773,13151043.4434911,15748439.1460071,17748698.1151332,19116839.0758609,19577805.0808459,17139861.371796,19254919.6475057,19258086.4399426,20224596.7401999,14811366.4507135,6896817.63339733,7552679.92866619,7593038.42887627,7037542.09832601,6727320.38498371,7025176.82190889,8716349.28434079,7223509.29708697,8438353.31634396,8022941.4381088,7637212.9754457,7880382.14291023,8598256.2607527,7445479.38064686
Q60931,18666984.6694772,19209101.1517634,19239032.0003663,15745548.0872932,17289046.6230195,16587915.2612943,18641436.531872,17612566.0493127,17001052.6806753,19053579.2936986,19833747.9160015,16765386.7751786,17391931.8346919,18918098.0315786,18842375.3811792,17725605.6587548,13288537.6576071,17640600.4465021,16244030.8057536,16302440.5454316,16322643.2026814,17414237.6635883,16093934.2839927,15549091.815045,11371920.3492171,19019304.1826167,16795695.9377783,15711539.590813,13379005.2010838,14297670.235715,17431144.1517745,15712057.6537975,4370970.13649077,4759454.16733825,5205483.83518102,5420652.26085938,4954107.612988,4519244.84580115,6716365.03074205,5669874.4173674,6451002.8156723,6024082.88552855,4719405.96687798,5730398.89599962,5344861.99992735,5868047.30847591
Q60932,48192542.1205457,43607390.7663254,45514052.8465808,44848274.6081891,36656103.6574596,43444539.9700564,46038699.3135627,38819533.333179,46992653.3070973,42924074.7009728,41589709.2864174,53108418.75234,47014318.9595863,38470322.25416,46178464.0170869,33394649.3350022,36518118.7537295,21931557.3118675,34122681.0636584,35444661.0568415,40966633.9204552,30991439.9097758,27405670.9521704,25915153.025075,35072277.7125387,38038608.3652334,35858295.6217599,32470515.154347,32633924.8485895,43282062.9584569,44024812.7935843,32925267.3127349,12629237.4845328,7113865.00543643,6117468.20788006,15238314.2955489,8088338.9599804,12850933.210809,8358143.14936787,7339585.46626143,13012413.992493,7610333.02129177,16057729.8458089,12137002.2003018,8133485.65206337,14764764.19552
Q60936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135877.741960077,NaN,NaN,98188.7524760512,73664.2363513036,123595.345196512,NaN,99485.591109072,102834.997214128,128548.96028847,84432.3706608934,NaN,92407.4116251121,88467.8915029107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q60960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106511.179698378,82100.3080239911,69777.8178637086,113591.198639136,100069.538066112,91498.5368764808,108519.099743493,100670.402135868,96608.1831536291,104362.335771282,119527.652072533,119979.029602572,122038.223117994,86369.5997912578,105257.293531869,109083.712373498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q60972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,369238.756287709,502518.726232791,600722.648665603,501694.460656184,463008.310455146,471266.657675638,490175.255621033,365802.352315482,559030.85081198,391114.921909195,615155.243856055,230435.913998591,527928.313340062,469780.593459207,253645.495029026,499383.233709869,64310.5852049256,73163.9497000401,56358.5848297158,75260.987398627,50707.6634798772,59756.8394302616,69103.9335385237,58841.6888353561,57570.0740273934,69409.9047845528,69322.3947001995,71695.0058546397,76558.0474868822,75211.9612011105
Q60973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,202878.43752072,208826.567447782,178786.502579049,195629.286545179,173894.826276932,161352.25857788,187609.291081971,157484.391460071,153042.666381987,165809.31851512,162804.90540914,207582.765502863,170853.512365192,142004.07172887,206715.491543479,162124.416555108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q60996,512427.030142511,481593.104705347,557382.241382041,459097.722320516,374873.078220279,506414.132580254,543708.565512934,501418.97222023,571061.000299606,572677.804613976,629088.039626481,498635.051829506,630597.786522376,571770.448887377,586749.616792161,610113.388143881,550814.957868753,565452.760258151,549640.790785876,469089.579565321,572892.771231367,506685.446143952,567426.140184198,454511.914593623,538837.721219912,633976.806087223,629580.994968256,519909.128277813,585783.470966371,661388.827230353,617911.712559698,607466.178079941,249897.677885435,178901.468701367,199816.800759902,275685.533438556,244983.343499406,258089.57531708,222386.308795681,210722.89173208,291793.525892268,251232.680461921,299613.739805947,276550.264421162,259496.923184879,261222.751151508
Q61016,2732944.16076006,2312375.20973834,3550975.62063903,2176070.12891805,2269187.36927131,1623684.82716373,2400791.06849867,792565.472219073,2336554.93252357,2194372.89618439,2726048.17171475,2152459.33436164,2457311.65922421,2589348.61326076,2391907.75564192,2487460.68360427,2120079.67209152,2164549.35208432,2298683.60458777,2482178.04433667,2677766.95677976,2341575.45984972,2354312.67240121,2701156.33453666,2263756.10690022,2672456.07489076,2802717.35894216,3208962.93460848,2748119.98724964,3112418.01049578,2704062.10559578,2702073.60925179,633253.255430118,443878.172343958,612771.522330365,481577.260943301,626068.544498483,681099.460172875,697009.437634786,704493.057528012,1529944.43305676,834385.909563316,800928.23255315,804509.860134288,915339.893224272,842979.699368151
Q61029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,254376.130894135,225314.585581438,173174.560658581,282664.914031937,265981.915799356,171345.77614412,185073.169736003,183043.189852018,218450.828843671,115530.356708767,368152.830611228,275683.335692569,262078.982122042,413918.175737655
Q61035,397740.980539187,158406.805706485,164905.988574568,472366.442618796,398977.998992758,346678.652286309,395424.411282133,405268.73919592,138623.96801166,428170.321206711,400169.891873511,235797.052708964,373646.019416283,486163.413102021,199162.931490184,426981.440177741,440246.209419962,467237.525339787,436239.066292879,297651.011248847,277378.250503082,480121.354792716,562827.873245915,401684.871888662,339032.017887874,508156.793802221,378160.761298445,540857.847732231,426681.787494023,435738.521469409,417900.50722844,450345.601541966,231983.865850637,211812.587943599,242854.265538957,217524.028493713,235650.644699429,137076.620915296,180595.593048842,227687.87030373,217662.19769261,263152.479169969,191909.454254789,276550.264421162,174288.9782585,232198.001023563
Q61036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,108539.964073585,114425.516409744,139964.290590455,126212.442932373,150424.358926671,161352.25857788,167376.916553523,176422.387901472,NaN,138499.548406747,137044.635565922,152354.323304854,153677.762444881,166319.837435868,138555.2483859,186142.848637346,70938.6956578011,45316.0795719972,55333.8832873573,66420.4386470109,23487.2919799431,57722.1083385502,48357.8282213428,56163.0080082535,80440.3774081387,81146.3219740148,57572.8362764368,80104.2145219918,55514.2671490039,72057.0970567687
Q61081,1610484.95187646,1875390.91813424,1846947.07203516,1866466.6552915,1936705.70344401,1764111.62302654,1850021.35278427,1545592.53085806,1630357.35963399,1809019.60709835,2053273.46266976,1665722.29895323,1873840.39767325,1923516.112708,1854948.87172231,2125114.04859105,998161.912601942,1144255.16409744,1093151.75862618,1135911.98639136,1269538.91576411,1101917.86345869,1121977.1329412,1126312.41993595,1084052.22020574,1102144.29365933,1215884.73659991,1037913.82751432,1148063.28414705,1128251.52880472,982177.93009037,933716.547197009,334092.594448987,497042.288042948,478535.620281406,351295.489866852,402861.498199024,326627.885774728,431339.887529879,535736.165420541,471601.428333989,588654.674658954,388714.557852813,453403.725054131,524157.964244083,355868.675481764
Q61097,228152.034849166,439715.443426622,246259.609604688,310488.054979771,282609.415953204,245746.892759915,69199.2719743733,212968.273147302,453361.404818007,390705.418101124,366094.289727077,446716.434719275,243487.045685686,365679.43681152,364155.752185485,383891.570068061,652254.176629114,692274.37427895,687561.807061141,719410.924714529,805463.76588395,789051.898655242,546274.112268093,782438.274026303,714199.109782606,595938.19772199,764564.808946721,908412.652705189,373346.56405727,634155.169638514,830214.109280028,627481.538148472,53114.4526831768,92826.2337601432,130137.095879526,161688.983746664,104992.861499746,220607.686785554,162685.286300196,110718.807520245,187694.213952323,188882.964142904,114558.194631685,184655.819190305,247877.657967645,224626.327077142
Q61102,128106.757535628,113797.992605233,140719.776916965,116764.738624871,113874.97054585,130772.453647241,112272.28820332,163545.256172189,128161.781746629,106614.409980471,141544.808915958,113571.974928629,113328.071955089,137394.008050571,135704.154299684,126331.664639745,100120.508916475,115379.062379825,113401.724492997,119901.820785755,121619.694451351,112159.496816331,102081.526029896,113627.978648406,58347.5165581325,104362.335771282,129831.76000982,118074.600561262,121134.236280083,114770.414137032,112855.484572386,129099.07244203,103004.41920009,43206.3924410848,74085.9215125174,101666.310643586,68517.563689834,89313.9858151223,64178.5991826462,72413.6716926765,83594.9020123794,79770.9605846247,89296.6440205958,67533.7479573935,57579.9142987343,63602.0611499324
Q61137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,701959.39382169,650318.351595376,717189.284631383,830898.582638124,695579.30510773,677876.257074143,530640.004677929,780444.800716683,402799.795547034,763698.214101994,721287.555610113,776054.834334098,752117.049142007,559262.61126096,530755.991800826,737566.018525397,155850.164702745,145990.349459134,212113.219268203,160525.753647767,198319.84949952,122083.865502685,174625.490799293,202686.849250772,201100.943520347,219140.914709486,197784.23346667,262679.404763674,93986.9453127321,135028.185377833
Q61151,1720290.74404986,1556756.53883959,1769990.9440337,1539171.55460057,1496167.49622284,1676344.87561228,1864143.6531872,874338.100305168,1717542.24517591,1391553.54392181,1799890.78004243,1698171.43464712,1683090.17755083,1627590.55690677,1757319.98373692,1684422.19519659,1065111.79698378,1106113.32529419,1113584.50177807,1011803.08417453,1077507.81926197,1131433.52051562,1075994.46355837,1066508.22064732,1084052.22020574,1092390.80433491,1021137.09658518,1256923.16726504,1102863.9422515,1050441.07854232,1150902.46643126,710545.28243288,484568.615541292,362866.186516923,431399.349332915,466455.269657641,438636.843598937,307351.485958514,446265.143153749,463411.783088769,522862.453152901,474041.225543114,543417.07709902,466407.655983026,549978.553615713,509826.045725648
Q61165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113611.925011603,126821.614020799,158353.759427157,184059.812609711,238972.031202656,190867.915634809,164617.956390553,150507.234876397,223187.221807064,196045.135420819,219477.49906422,132357.818371092,154581.749282792,200361.909425666,240236.922604584,156119.808534548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q61166,856485.178952481,794765.18035495,924572.909274745,673166.409799446,488748.048766128,765326.037452308,820505.653410427,721576.047836639,906722.809636014,834932.126353087,817814.451514425,830697.873763688,1013220.2868856,683799.409297843,885494.014027437,948956.457642731,1470868.67202522,1077506.94619175,1062502.64389835,863503.463728987,1130849.79051257,930727.052528502,1030011.79417553,972814.975095124,675938.443187109,1004609.40041514,972707.789279925,867467.428317009,1545817.49282792,806310.790844062,1173250.08713867,1020783.36349512,322448.616626368,445565.922048687,498004.949586216,446680.357976395,468190.389798866,443357.195772909,456712.82209046,458054.421434563,515764.772793359,497880.822959208,503272.752484498,444734.4377682,418293.547820402,566613.600323802
Q61171,15372810.9042753,17752486.8464164,17150222.8117551,18664666.552915,18286491.6205014,17026748.9983656,16805537.4794907,17972006.1727681,14647060.7710433,16591599.9467601,15377707.635314,18928662.4881049,11445013.2073456,17649845.6495734,15522993.1896761,17431811.0898252,18766255.4706666,23838649.2520299,19411105.9942967,22192354.5489423,23577151.292762,23809296.6925896,32463764.5842823,14452681.4947534,29545736.982078,26139351.3894424,23390325.0176423,21805712.5230072,23774853.837061,17215562.1205548,16648977.4270154,24919123.2853221,8410534.75033777,3232040.68455771,3678678.53706691,9259311.58721901,7108405.58598279,6254120.82926035,4417875.66466588,4768051.87224282,8438353.31634396,4612045.1924214,8234482.19532029,8443885.81649566,5461054.65209968,12619456.5773675
Q61187,185449.78233729,144751.046593857,183595.333946352,137110.109748902,181202.507875878,196597.514207932,190651.0554396,181517.262344958,182216.410782622,206592.179982238,220180.813869268,148184.38633545,199726.701069365,183896.595390765,196234.064850623,186069.893655438,236353.379711639,201198.199687132,120553.184596159,133574.835436762,115218.65790128,111175.6415811,112197.71329412,254167.846976697,128598.351612642,148253.037731166,100980.257785416,124740.102205849,181701.354420124,118660.936650152,163137.631164043,80161.51707447,86344.5740077275,88606.8594983185,103494.855778205,116206.686879796,76839.2201198139,67146.1260264767,112984.185072705,107147.233084108,108831.098846305,97192.2048502323,97619.2479040944,72475.2417103735,117354.578694057,104489.100460603
Q61191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23377.5247054117,15780.4597392243,31355.8671961692,40829.3764712799,38108.5200999077,40801.7129443184,33283.3200412328,32144.1699252325,39510.4206681152,30074.5690479964,31527.9817704297,33810.2204151264,32792.1485019697,32432.0034038346
Q61205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14243.3514387827,10957.6275316084,11432.5560299723,NaN,17910.3067486455,15000.6126317752,20898.7255030948,18888.2964142904,25065.7246373602,NaN,16783.3830915593,15900.5152874831
Q61206,919928.525541556,1347368.23244596,943262.25464653,1592246.4357937,1903457.53686128,1465704.68181807,1220166.75481344,1940976.66665895,1656512.82529657,1273806.70558996,1459134.75857809,1395312.83483745,1481119.35624472,1490196.5488562,1308227.09900415,1214350.88490917,511253.662552213,529218.013395064,523078.224688417,590043.170708845,552622.822156141,570636.036433966,407406.450731929,617976.725982558,410239.369607271,521811.678856407,559513.060994702,451349.682790629,441145.5769006,549536.304978161,559807.89872045,599460.034052529,673559.332508414,661597.884254112,646586.673228194,432721.596789633,572405.526398614,547235.572560282,250744.294481037,583059.526699357,646677.54386935,872896.028466237,595310.960137306,544431.241556393,570635.025113017,676402.8725469
Q61207,6502943.02537997,6973540.9868487,6464314.75212306,7492404.06176257,6666257.39983733,6942349.72046761,9010027.65707148,6685586.29626974,6041912.56805537,6037201.52901463,6614161.74996175,5559618.58222051,6451845.68061149,5675429.4094736,6179908.60947484,6483066.82104735,4037280.90666232,5273109.21454902,4628016.32390338,6363210.66450715,4790109.01830323,5824422.99256738,4349960.5236163,6568494.55520171,2508199.25459367,3901395.72976753,4131947.28285222,3561282.30725095,3498429.06271582,3647364.85604974,3463881.20964749,3322549.77137628,2749770.14734153,3586468.12255098,3299538.96639427,2594003.12054,3087567.85299252,2666568.64124286,3388033.02661877,3241203.80079428,2681345.91360462,2521495.88054848,2310746.49000664,2297361.1307714,2362583.92750412,1918157.39975987
Q61233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,195260.551179301,267508.328199685,234656.653200089,241951.860570547,215429.797299478,186338.53155673,182088.118611229,208937.104514011,244475.656828657,237479.06656802,221283.350314196,214131.395962467,189781.331881478,213268.816157511
Q61234,183009.653622325,152034.118120592,135222.910631146,171608.782524432,NaN,149203.470604234,163818.684674027,199489.268517726,123802.537469533,141296.205998215,126691.341313666,105784.182362095,117816.312428558,125768.361215523,115202.087822754,165504.273830363,76485.1709453114,173545.366554778,179808.139736643,310272.255542084,184563.220527051,417154.619737934,236350.920627778,160474.601424503,104685.434990456,147277.688798724,159713.673027954,52847.9058963711,171757.499203103,312214.431677857,217889.301897181,255195.840873781,163015.689516664,89450.7343506834,154729.932896129,100503.080544689,106548.311299742,152069.376327906,153730.132925874,141077.190227409,170344.328629,128367.063009741,156660.778983502,180321.175547341,132976.035263893,275104.153386612
Q61239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7443.18890045867,NaN,24797.777325075,23031.9559581579,20220.847399951,NaN,26119.1973417746,20625.8423686909,18690.5582801263,25948.4848798262,NaN,NaN,22593.015700176,28141.3881675296
Q61282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89367.951727877,70467.0471890005,170613.405318292,NaN,NaN,138723.588167567,NaN,NaN,NaN,123869.314420119,NaN,83794.8778176695,142829.920389948,147839.85549855,NaN,NaN,73625.7674630207,63375.0014126068,52567.1891229895,62465.4563107615,61751.3570598505,56544.1061275594,65969.6298575108,61073.9228579417,78389.9364153822,77020.2378058445,77547.0855968333,75336.1065147302,81463.9594674916,75211.9612011105
Q61290,66493.5074827782,86668.5511681457,49251.9219209377,89342.7166750907,76720.1443896491,NaN,100974.447880973,NaN,48997.9056745615,73217.1249263475,69287.0576977498,60679.8837475819,85725.3930432553,96598.5564294016,123012.398861584,57877.5300791387,141000.5140769,369022.290421423,468931.455335905,438588.239189998,330720.221753675,228254.414573586,461666.000603675,118611.661922459,108405.222020574,510107.491667105,473988.965115218,289473.214279222,359786.761488604,531056.323040842,471534.796926207,442339.457514553,102108.72859835,113079.230216902,108618.363489998,46063.9119163157,55685.1028398651,45942.086228642,66865.1451949431,92860.9353395606,99367.525033583,115530.356708767,90079.9479155134,140442.454032063,86757.1802886757,77104.8796877156
Q61292,285495.059650827,277667.101956769,347401.949263757,323756.775278051,280947.007624067,239603.220440918,244315.796970747,267782.891974244,349611.391023117,330761.573132185,184357.744946093,327736.27050833,233388.504620381,225114.797805936,310459.863793523,324153.341052368,322576.715657945,343276.549229231,388222.119885935,195629.286545179,418201.054604648,210545.020339429,263940.52225748,436570.654807033,207245.277392274,510107.491667105,334883.507961838,291377.643320533,365210.68251607,345283.873039375,347505.50200012,402308.73737749,85180.1762254657,268352.20305205,226459.040861222,183790.355625704,219318.421799469,169203.953942318,328355.623725167,277689.912409648,200312.312369286,331003.641046546,120432.973843567,241873.115277442,302100.895648068,109915.466788871
Q61301,1817895.89264843,1292745.19599545,1275272.97831,1521479.9275362,1487855.45457716,1246287.81328243,1357153.0687219,443908.552467372,1787290.15360945,1734089.80088718,1328074.75032257,1946948.14163364,1896281.60004059,1669865.63630694,1610876.65175885,1371041.32167164,1075255.71885981,942103.418440223,1021637.15759456,826691.501207045,1173523.36751304,1121594.96816331,1167959.80232404,1006704.02135868,1222215.73846726,1297214.0801477,1329229.92391007,999825.246688102,1247501.83631727,1342230.2670263,1195597.70784607,1210929.28414617,407539.22379166,414342.552511184,509276.666552159,581615.049448431,542074.255298687,587930.19439451,592532.648267688,529485.910157303,578066.633727115,532723.311490424,648183.973044238,605983.181286495,689409.736222513,906076.98225499
Q61316,4270225.25118759,4406258.27367463,4980160.85495196,4971347.20508921,4746175.77968469,4397114.0454542,4759215.23578854,4007757.37652728,5004412.43010647,4827620.37160566,4517201.61787347,5332474.63236327,4869740.91371372,4999028.13907078,5047413.50884438,4994507.67180384,5325558.98491889,5292180.13395065,5149051.2742766,5427135.04609206,5398207.49055999,4004290.80739007,5646671.80021228,5073389.57298584,5069538.32390331,4847484.19423615,5049012.8892708,5865641.44723687,5839754.97290549,4950689.89794485,5128778.95234902,5544254.73898332,1558501.64702745,1569607.22539878,1803474.71455091,1488934.52658798,1742103.77599578,1670621.31740517,1420884.33539254,1723284.66543608,1853283.20499143,1824646.10992417,1762433.76356439,1759865.31904376,1871992.72944316,1678387.72478988
Q61330,246453.000211398,573541.882730375,562879.10766786,253874.848373773,438875.798892034,627532.244011927,538059.645351761,1078320.37036608,150829.851987529,461353.521100231,302311.752376058,633839.783887397,439847.566399949,385760.099526604,516456.817442684,470071.310287421,446332.562545583,371882.928331667,338161.899163801,161972.635096546,300848.717853343,331559.214272839,216118.54609933,337893.725980786,593040.332230199,203847.926880354,151470.386678124,153306.537825509,310067.485403495,145894.594241989,205598.110508109,374287.233281545,94047.5131826908,150209.723720959,104519.557320564,168668.364340045,138435.032199665,119942.043300884,135521.321064751,108040.126693143,139587.713737653,101776.742814866,171347.727013204,175119.603175783,83658.7095640802,162790.989848041
Q61335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33140.5522643767,NaN,NaN,24660.4780966135,NaN,28272.0530637797,NaN,NaN,25709.375524562,NaN,32017.5467047531,23927.2329091663,NaN,25743.6914178298
Q61361,4428833.61766028,5280226.85688283,4606373.94751627,4537902.34201203,3881723.44853371,4300570.62329852,4490891.52813281,2938423.00924759,5300841.04094901,5298607.72493305,5923912.37314935,3699201.46910393,4712652.49714231,4872202.90087026,5535557.9487713,4994507.67180384,7678948.86015924,7103917.47710492,7560114.96619977,6868060.43623665,7051808.59932836,6946017.96073069,6474359.84910333,6468820.88972066,8066623.8738839,7461419.3331804,6574020.86398933,6713112.37062012,7014937.86218987,6983487.9110499,6648417.16045245,7866036.506933,1880950.26365381,2067493.3882941,1936685.91505751,1814638.95427911,2014307.49099512,1681330.42841417,2223863.08795681,1937579.13160429,2563051.24094559,2613186.63984115,2702398.4374654,2635463.33492267,2207660.39127434,2385077.29312247
Q61387,481925.421205456,520739.614161547,424358.077265222,501557.627275014,NaN,413381.380321144,NaN,138384.447530314,496081.998733551,466705.650115315,333766.154357382,115735.250641556,494828.512199943,NaN,407112.462899054,484761.038733903,613707.273500177,667482.179056837,586419.72845928,878228.248737764,117352.336751304,NaN,NaN,96384.4345201828,695068.776484856,103386.98683884,628550.584174528,824617.77488752,NaN,NaN,706184.81435394,591453.890025116,102108.72859835,NaN,NaN,124465.620581964,345309.855599163,699304.948888188,NaN,NaN,78311.0733002762,NaN,725535.232667342,491548.589112221,39763.7076323097,1274565.11431412
