Protein,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46
A2AWA9,56244.966879928,139288.742948806,120931.058288017,134456.365689246,153772.770445126,161490.81524223,137127.536912483,163545.256172189,47167.0230781811,128451.096362013,93489.472555602,159000.764900081,169431.07787345,213489.150970887,141561.887578808,140042.077856461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86971.5574289454,60927.7643407484,18752.03822516,23613.5710076063,49618.8486198798,50547.0039625152,63730.8415139301,92860.9353395606,67585.6896458577,58040.2506322613,42102.584351816,82531.614962052,57192.6054581598,45303.8491127495
A2CG49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57718.9154746448,71420.5931590817,NaN,137781.916867841,112018.139626245,78610.033294955,90401.9280066559,93792.9192176753,NaN,144351.642001399,NaN,87698.9573523563,79731.6391037561,183827.188744907,63578.9809125621,53541.0881833226,21227.8672612359,26328.895393786,NaN,NaN,27609.2339499331,23560.0442198164,31343.0368101295,NaN,24210.9763375476,28515.826140021,28296.8532038949,31902.9772122218,45444.2372940683,NaN
A2RT62,760100.09471139,479772.336823663,858610.513844918,651936.457322197,768032.64806106,543276.166494242,577602.086479973,NaN,843949.692045829,830650.42314102,748789.513833186,561370.047504368,776465.601910113,850785.972928536,926498.146981299,671810.247619105,1257846.31262846,1010758.72828607,936841.273514215,1093841.17208057,1173523.36751304,752649.254951697,1066797.9296818,953876.978653723,1254099.62729684,1150911.74028142,1012893.81023535,1009347.39189465,922066.574669286,1069893.69110792,905078.638649829,971745.731327219,283933.920751552,279322.576132795,295114.04419924,301276.595614287,268315.09049935,340549.730086438,307460.265851747,305369.614289709,396681.468983272,343840.34734752,366194.570873935,329432.916865334,413129.429946076,341987.27324666
A6H5Z3,101997.380285509,133826.439303754,65742.5207783945,136225.528395683,120524.603862396,88644.414888398,115379.194291965,49782.4570985676,88056.7343973437,77926.9984596213,108342.940157894,61869.6853896914,81798.1826289702,140564.639005584,98605.1768652383,110662.620963497,78513.9553205185,61885.1334582697,62013.37546599,81091.49458405,81506.5320709057,81955.1410947403,58030.1287611392,82031.4266909105,67593.8443187109,67201.5414452457,69140.5642591981,56656.7639789924,NaN,95123.2754457771,72518.0291955233,82563.3602826937,22392.2650434978,24894.3081447657,26744.710255556,35013.2259767955,21309.6622599484,37803.1618617963,NaN,39376.6081584098,36592.4854091925,34108.962456874,36031.9791662053,31209.4342293474,42474.8695163309,45051.4599812021
A7M7C7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240293.584460462,225781.811828399,NaN,NaN,155449.127166494,269458.44258342,224265.74733238,204056.888509316,276023.747881053,234933.660970151,142832.1780983,285659.840779897,249966.071467942,236884.779498474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A8C756,74545.9322421605,84301.5529219569,58596.5946068298,107034.343739465,83951.6206213928,51694.6142269965,69199.2719743733,105136.236110693,84133.4145479572,98265.0887169402,122322.674371816,164408.954182397,76973.324119991,117313.345335488,94895.2791217938,120455.773261152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B0V2N1,832083.891802838,889445.110202504,740977.575328393,1079189.25092684,889388.456088024,335268.975122456,1056348.07013941,319901.709875272,828256.412648283,886312.564897892,1022268.06439303,787432.359505162,1234266.13020394,567542.94094736,876707.414108753,938183.990115312,788182.729767996,706577.563830168,783595.699875031,756222.88723647,811864.802434022,856937.909886179,838723.889542931,854203.313172665,706759.535722369,887567.528522114,927369.714355861,827474.418449485,481824.984606598,950260.123829493,817922.917890955,822631.298816657,225714.031638458,269196.077904415,357620.838283106,373396.861745892,255871.492099381,321273.330270223,256714.396730585,265189.401883168,253939.230641379,555646.001313593,279052.012564362,436932.079210864,357615.162797071,349558.947193081
B1AVY7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19526.0551179301,23544.1083809818,24695.3071708391,31872.504709774,27609.2339499331,NaN,33731.077709949,30447.6720680675,29731.3943949689,27782.3000656796,27121.8973615187,30342.5055007544,30855.6042990975,29529.5283910401
B1AXV0,115906.113960806,128364.135658703,149514.762974275,155686.318166495,146291.932964011,194842.179259647,148284.1542308,214765.473764579,187447.503915138,207662.605785255,159019.47668336,215245.933436164,236754.684975482,178612.210465742,257740.264281415,152773.175843412,217079.92814717,185941.464165834,202284.157203724,225078.856562733,205900.009027288,211528.87557466,207841.665610419,234233.113880486,198742.907037719,217502.81193454,243176.947319981,213296.052626795,187125.275447591,251911.332724502,232415.255356993,234179.712801822,125396.684243588,115610.854773996,129112.394337167,130281.771076448,117436.459899716,152069.376327906,141192.918201822,117861.956392519,131701.402227051,182464.610992417,192888.584123436,143043.240217842,170415.889852756,186767.95734504
B1AZP2,96873.1099840843,73559.0224200228,84102.0541730298,81381.4844961224,67244.4169135711,70739.9984158899,73718.408103312,52478.2580244828,49172.2754456454,83172.0848944037,74616.8313668075,121143.439923871,56664.0359775445,112028.960410466,74783.7281968045,76288.6563987294,684714.726632428,472958.801160274,550662.42794347,482762.594216328,537687.070205975,311882.109568219,357745.167798465,310981.8363009,492074.684269861,598864.244519316,608972.779093682,825569.989408175,242268.472560166,295679.710997099,147494.296668861,469360.193607072,161224.308313184,162023.971654068,163952.246777355,241951.860570547,244205.618599408,248451.375408973,268654.601229682,258046.253010895,176653.377837481,135702.323753155,271218.973615187,173385.745718597,305973.984053812,288985.555621717
